Year,Round,GrandPrix,Country,Driver,Team,GridPosition,Position,Points,Status,MeanLapTime,StdLapTime,PitStops,FirstCompound,StintCount,AirTemp,Rainfall,Humidity,WindSpeed,TrackTemp
2018,1,Australian Grand Prix,Australia,VET,Ferrari,3,1,25,Finished,92.64281034,13.36604896,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,HAM,Mercedes,1,2,18,Finished,92.72963793,13.00867425,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,RAI,Ferrari,2,3,15,Finished,92.75158621,12.71416983,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,RIC,Red Bull Racing,8,4,12,Finished,92.76468966,12.15769994,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,ALO,McLaren,10,5,10,Finished,93.12360345,11.76729401,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,VER,Red Bull Racing,4,6,8,Finished,93.14186207,10.65021014,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,HUL,Renault,7,7,6,Finished,93.20610345,10.42548587,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,BOT,Mercedes,15,8,4,Finished,93.23486207,10.34682961,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,VAN,McLaren,11,9,2,Finished,93.24489655,10.4953033,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,SAI,Renault,9,10,1,Finished,93.43112069,10.17835995,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,PER,Force India,12,11,0,Finished,93.45,9.691896479,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,OCO,Force India,14,12,0,Finished,93.68208621,9.424183494,1,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,LEC,Sauber,18,13,0,Finished,93.949,9.969228318,2,nan,3,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,STR,Williams,13,14,0,Finished,93.99260345,9.404683829,2,nan,3,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,HAR,Toro Rosso,16,15,0,+1 Lap,94.6624386,10.703745,2,nan,2,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,GRO,Haas F1 Team,6,16,0,Wheel,91.36991667,4.16425824,1,nan,1,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,MAG,Haas F1 Team,5,17,0,Wheel,91.43031818,3.864032465,1,nan,1,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,GAS,Toro Rosso,20,18,0,Engine,93.18853846,4.081027273,1,nan,1,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,ERI,Sauber,17,19,0,Steering,95.0192,5.411143567,1,nan,1,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,1,Australian Grand Prix,Australia,SIR,Williams,19,20,0,Brakes,96.53675,6.671631004,0,nan,1,24.07747748,0.045045045,30.91531532,3.691891892,36.32432432
2018,2,Bahrain Grand Prix,Bahrain,VET,Ferrari,1,1,25,Finished,96.88858929,6.032867121,1,nan,2,27.98252427,0,47.3631068,0.958252427,32.19805825
2018,2,Bahrain Grand Prix,Bahrain,BOT,Mercedes,3,2,18,Finished,96.90201786,6.040663592,1,nan,2,27.98252427,0,47.3631068,0.958252427,32.19805825
2018,2,Bahrain Grand Prix,Bahrain,HAM,Mercedes,9,3,15,Finished,97.01046429,5.989755676,1,nan,2,27.98252427,0,47.3631068,0.958252427,32.19805825
2018,2,Bahrain Grand Prix,Bahrain,GAS,Toro Rosso,5,4,12,Finished,97.98323214,6.539328033,2,nan,3,27.98252427,0,47.3631068,0.958252427,32.19805825
